,ADV,NOUN,NUM,ADP,PRT,<s>,ADJ,DET,.,PRON,VERB,X,CONJ,</s>
ADV,0.0020240456624701455,0.0038600019462194687,0.0002857376112335701,0.001041395469929706,0.0005285197381794528,0.001395589935802863,0.00027432691930869615,0.0011228385358185494,0.002236712411858367,0.0009746192893401015,0.008796698523023458,4.151961801951422e-05,0.000854840022795734,3.987399816579609e-05
NOUN,0.0010120228312350728,0.05601868370689935,0.007551636868315781,0.030609588276862425,0.0008537626539821929,0.010646357510267554,0.04134498569581064,0.06542405868702747,0.010463264841913716,8.121827411167512e-05,0.017267593397046047,0.00012455885405854267,0.006268826833835383,3.987399816579609e-05
NUM,0.00048577095899283486,0.002108404424405592,0.0007755735162054045,0.005578904303194853,4.065536447534252e-05,0.000956975955979106,0.0008229807579260885,0.001983681413279437,0.0012889529153082115,4.060913705583756e-05,0.001592817839559803,4.151961801951422e-05,0.00028494667426524466,3.987399816579609e-05
ADP,0.0036432821924462615,0.05144506795549645,0.002245081231120908,0.0021943690259233085,0.0013822823921616457,0.002870927867937318,0.00356624995101305,0.0010105546822366943,0.005876108878610964,0.000934010152284264,0.021575441644946423,4.151961801951422e-05,0.0013026133680696897,3.987399816579609e-05
PRT,0.0008096182649880581,0.005319666547731032,0.00020409829373826434,0.0008182392978019117,0.0001626214579013701,0.0006778579688185335,0.0015283928361484501,0.00014971180477580656,0.0012889529153082115,0.00028426395939086296,0.007240081088908196,4.151961801951422e-05,0.0005698933485304893,3.987399816579609e-05
<s>,4.0480913249402905e-05,3.243699114470142e-05,4.081965874765287e-05,3.719269535463235e-05,4.065536447534252e-05,3.987399816579609e-05,3.9189559901242307e-05,3.742795119395164e-05,3.791037986200622e-05,4.060913705583756e-05,3.620040544454098e-05,4.151961801951422e-05,4.0706667752177804e-05,0.039873998165796086
ADJ,0.0031170303202040237,0.003568069025917156,0.0016736060086537676,0.008256778368728382,0.0002032768223767126,0.0015550859284660472,0.0033703021515068387,0.020922224717418968,0.0026537265903404353,0.0002030456852791878,0.006081668114682885,4.151961801951422e-05,0.0027680534071480908,3.987399816579609e-05
DET,0.001781160182973728,0.003503195043627753,0.00020409829373826434,0.04749507196786551,0.0013822823921616457,0.010925475497428127,0.00027432691930869615,0.0005614192679092747,0.007165061793919175,0.0003654822335025381,0.02211844772661454,4.151961801951422e-05,0.003175120084669869,3.987399816579609e-05
.,0.002266931141966563,0.04719582211554056,0.002530818842354478,0.000855431993156544,0.0008131072895068504,0.004146895809242793,0.002821648312889446,0.001160266487012501,0.007506255212677231,0.001380710659898477,0.009013900955690704,8.303923603902844e-05,0.00024424000651306684,3.987399816579609e-05
PRON,0.0008096182649880581,0.002400337344707905,0.0002449179524859172,0.0028266448469520585,8.131072895068504e-05,0.004107021811076997,0.00011756867970372693,0.0005988472191032262,0.0045871559633027525,0.0002030456852791878,0.003945844193454967,4.151961801951422e-05,0.0009362533583000895,3.987399816579609e-05
VERB,0.009351090960612072,0.033020856985306046,0.0008572128337007102,0.005021013872875367,0.015936902874334267,0.0018342039156266198,0.0009013598777285731,0.006175611947002021,0.007127151414057169,0.01798984771573604,0.028996524761077325,4.151961801951422e-05,0.003826426768704714,3.987399816579609e-05
X,4.0480913249402905e-05,6.487398228940284e-05,4.081965874765287e-05,3.719269535463235e-05,4.065536447534252e-05,3.987399816579609e-05,7.837911980248461e-05,7.485590238790328e-05,3.791037986200622e-05,4.060913705583756e-05,3.620040544454098e-05,0.00016607847207805688,4.0706667752177804e-05,3.987399816579609e-05
CONJ,0.00036432821924462617,0.00892017256479289,0.0004081965874765287,0.0001487707814185294,0.00012196609342602757,0.0011962199449738824,0.0014500137163459654,3.742795119395164e-05,0.003487754947304572,0.00016243654822335025,0.0011946133796698524,4.151961801951422e-05,4.0706667752177804e-05,3.987399816579609e-05
</s>,8.096182649880581e-05,0.001946219468682085,0.0006122948812147931,3.719269535463235e-05,4.065536447534252e-05,3.987399816579609e-05,0.00031351647920993845,3.742795119395164e-05,0.03392978997649557,4.060913705583756e-05,0.0009412105415580655,4.151961801951422e-05,4.0706667752177804e-05,3.987399816579609e-05
